case,site_osm_id,inference_start,damage_threshold,overture_id,T_statistic,T_signed,damage,damage_strict,damage_score,damage_mode
case1_kharkiv5,86492178,2023-02-10,3.0,1cb6b4c2-e833-4d23-ba9c-e84a3acd2c71,4.326440811157227,5.661224703876277,1,0,0.8652881622314453,increase
case1_kharkiv5,86492178,2023-02-10,3.0,cddb4e30-9a6f-4799-9039-a825a62fa935,4.15372371673584,0.9942866610372172,1,0,0.830744743347168,increase
case1_kharkiv5,86492178,2023-02-10,3.0,31e5ba14-fa6b-454e-bf6c-436fc1200a44,3.436411142349243,-0.08107143304874385,1,0,0.6872822284698487,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,931ae164-96e2-4d7c-a93c-586a302691cd,3.21975040435791,-2.6119314908935607,1,0,0.643950080871582,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,e7b9a6bd-a592-46e0-b2ad-d187e16e6a32,3.170671224594116,-2.3007261657340514,1,0,0.6341342449188232,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,e0457ea4-7aa0-48de-906e-ab3e40e5859a,3.115628480911255,0.5605872302489345,1,0,0.623125696182251,increase
case1_kharkiv5,86492178,2023-02-10,3.0,1127fcef-d0e6-4ee6-b9d8-ca754d4cb40a,3.1016628742218018,3.535836572803009,1,0,0.6203325748443603,increase
case1_kharkiv5,86492178,2023-02-10,3.0,99caa475-3653-43e9-b499-dc213f290026,3.0897538661956787,3.187289777535546,1,0,0.6179507732391357,increase
case1_kharkiv5,86492178,2023-02-10,3.0,a4aae059-36ac-403d-99af-040bcf9bd3ae,3.0258538722991943,-2.4101365386138958,1,0,0.6051707744598389,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,4eb7d014-e346-4cee-8b3f-9042c554ea5d,3.0243561267852783,1.8851079083775413,1,0,0.6048712253570556,increase
case1_kharkiv5,86492178,2023-02-10,3.0,9485e1ce-4272-45ed-97c8-4219b9c0feec,2.9811043739318848,3.2886507444848037,0,0,0.596220874786377,increase
case1_kharkiv5,86492178,2023-02-10,3.0,35a865d9-53be-411b-b115-45b4eba118c3,2.9002366065979004,-0.09349320070915125,0,0,0.58004732131958,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,11ea75b7-c64e-4917-9c92-2115ab36472a,2.846025228500366,3.085278924117294,0,0,0.5692050457000732,increase
case1_kharkiv5,86492178,2023-02-10,3.0,6b7bba01-5ea7-44e4-924b-74bbfd082187,2.777170419692993,-1.3285531211552268,0,0,0.5554340839385986,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,09d9ecec-7491-4936-bae3-64a21587f70f,2.7428863048553467,-0.586789976744776,0,0,0.5485772609710693,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,4e237de7-0fbf-4da5-97e2-d770ae39e7ec,2.6682851314544678,0.5662669544821386,0,0,0.5336570262908935,increase
case1_kharkiv5,86492178,2023-02-10,3.0,027ce640-a715-43ac-8f53-620e30466c72,2.656764268875122,-2.481544689851233,0,0,0.5313528537750244,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,886451bf-170e-4dff-925b-3f3d9a4a2ed1,2.656764268875122,-3.116497057897787,0,0,0.5313528537750244,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,750e3e68-c216-4f00-b8c5-7be232342d04,2.656764268875122,-1.947047854977476,0,0,0.5313528537750244,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,1b676a55-194e-4fab-973f-c2eb52350b16,2.631305694580078,-2.231459765931799,0,0,0.5262611389160157,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,1bf4c2df-fed7-4b64-bd2f-6a30e3d80a6c,2.6308538913726807,2.9689997290432633,0,0,0.5261707782745362,increase
case1_kharkiv5,86492178,2023-02-10,3.0,42513949-fd8c-48bd-936e-952aefce3b02,2.6143128871917725,2.837616150803588,0,0,0.5228625774383545,increase
case1_kharkiv5,86492178,2023-02-10,3.0,e9bb2d8f-5ab9-4fce-b29b-290681910ad0,2.613840341567993,2.1352754754498533,0,0,0.5227680683135987,increase
case1_kharkiv5,86492178,2023-02-10,3.0,6b4cc80b-464b-47da-ba8c-dd6fdacf547c,2.6021130084991455,-2.7438682849754295,0,0,0.5204226016998291,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,6824fb40-8e1c-477a-acd9-767f9f5a4dc0,2.5562984943389893,0.09203578888204518,0,0,0.5112596988677979,increase
case1_kharkiv5,86492178,2023-02-10,3.0,e50691ca-6baf-43b7-82e4-08b5cde7011d,2.531280040740967,-1.1355394390100098,0,0,0.5062560081481934,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,53804f45-fd4c-4f73-9a27-0d92f08c9633,2.515047788619995,-1.6596187227597754,0,0,0.503009557723999,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,9372bb7f-9a54-484c-98b1-4ec54e67cdf4,2.4886507987976074,-2.150713435584159,0,0,0.4977301597595215,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,9f8ea0be-9b07-4d47-a362-a098c706403d,2.4884161949157715,-0.9143758301551526,0,0,0.4976832389831543,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,f0f11792-1ce0-4933-915b-ab9201c5c2ea,2.4191629886627197,-1.5527360635974068,0,0,0.48383259773254395,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,5fc262c1-429e-4c7d-9aa3-985025f4e5e3,2.4138123989105225,-1.6899206673150196,0,0,0.4827624797821045,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,eb8490b3-3a50-41c0-a840-b0c595919928,2.4110147953033447,-1.368866295003959,0,0,0.48220295906066896,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,2e0d373a-c598-4564-9685-8e19a6b6d655,2.4067909717559814,-1.4262659557830497,0,0,0.4813581943511963,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,4b06882f-51d4-4000-a9c0-32e397090707,2.385498046875,-1.4546197072235005,0,0,0.477099609375,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,086ebb1e-c761-4f6a-878c-688f935a641e,2.367540121078491,-1.27642946436946,0,0,0.47350802421569826,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,71606da4-9104-493a-8e6f-0a415e763ad0,2.3652589321136475,0.12661514984087988,0,0,0.4730517864227295,increase
case1_kharkiv5,86492178,2023-02-10,3.0,b9576582-1b6b-4087-854a-d7fa18312310,2.3210415840148926,0.6782479331696856,0,0,0.4642083168029785,increase
case1_kharkiv5,86492178,2023-02-10,3.0,f9825c59-785b-454e-b223-c556a30eb674,2.3138067722320557,0.47482369379381406,0,0,0.46276135444641114,increase
case1_kharkiv5,86492178,2023-02-10,3.0,b2d7fd82-6215-413f-81c1-19c5931b19ed,2.3132691383361816,0.6684667535321822,0,0,0.46265382766723634,increase
case1_kharkiv5,86492178,2023-02-10,3.0,d177ea67-a8a9-4197-96cd-de52df95d29b,2.3074309825897217,-0.5645922785535368,0,0,0.4614861965179443,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,23480a20-ead3-4666-81b9-a85620227529,2.2873306274414062,1.3092140541124184,0,0,0.45746612548828125,increase
case1_kharkiv5,86492178,2023-02-10,3.0,db28d0b6-029c-4951-8d09-23501aeab8c3,2.2143497467041016,-0.7227422744461263,0,0,0.4428699493408203,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,602ac8bf-0e56-41b3-866b-dfdd5f56a36f,2.213339328765869,-0.19405372437388105,0,0,0.44266786575317385,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,28e32039-95d5-4d52-9ce6-8fcf41f7e5c1,2.204787254333496,-1.5006224201347633,0,0,0.44095745086669924,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,3653d97a-203c-4df5-8bc4-f41b4266f2c2,2.1400704383850098,-3.3254081484510274,0,0,0.42801408767700194,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,ff9746b6-861a-49b9-ba3f-123b9e7cbb5f,2.1276745796203613,-0.8330380073919146,0,0,0.4255349159240723,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,3b3fbf02-58e2-4a0b-9e3f-4c854df95315,2.124643564224243,-0.025791708912168282,0,0,0.4249287128448486,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,1fce9be2-d21e-4308-ac0a-011a7eb6d2a0,2.1149933338165283,-0.6401626806878837,0,0,0.42299866676330566,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,ea4bd18b-1ca5-450f-964f-1fd9a9da4f86,2.1120753288269043,-2.8640010820354447,0,0,0.42241506576538085,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,b91b67a3-b7c8-4b36-be97-c116f9691a4d,2.1042556762695312,-0.08863491836352617,0,0,0.42085113525390627,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,b82a21fe-7ecb-4219-b180-7a583e918bbf,2.0964181423187256,1.6798063535177787,0,0,0.4192836284637451,increase
case1_kharkiv5,86492178,2023-02-10,3.0,16d8c272-a86f-4037-bcf7-d0b933fb32c0,2.0685081481933594,-0.7960609892511965,0,0,0.41370162963867185,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,f9f8dbf6-3b63-4b36-b6a6-c8372956098b,2.0642590522766113,-2.74979361482065,0,0,0.41285181045532227,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,a42169ef-61e0-48d6-9c3e-fccccfc4edb0,2.0632219314575195,-0.6543367234948244,0,0,0.4126443862915039,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,955178b7-c4e8-449e-816f-054c02ce3143,2.026627779006958,2.0387607815515136,0,0,0.4053255558013916,increase
case1_kharkiv5,86492178,2023-02-10,3.0,1ca08d1d-88fa-4abf-8608-c477cdd1a859,2.024409055709839,-1.9112036274751114,0,0,0.40488181114196775,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,8eda20ca-8cf3-406e-8653-e050e255875f,2.0184390544891357,-0.776111750887052,0,0,0.4036878108978271,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,2cdc82e7-8efc-420c-ba9b-9fc5d76ea685,2.0106704235076904,1.7186817511164068,0,0,0.4021340847015381,increase
case1_kharkiv5,86492178,2023-02-10,3.0,1958a4ba-946e-4674-bc5d-fad255a68f68,2.0071961879730225,-1.8146719891428544,0,0,0.4014392375946045,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,75e9c430-096a-45bd-b3ed-a145290129c9,2.007110357284546,-0.11010360920395461,0,0,0.40142207145690917,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,d78aa991-af37-4637-a34b-1ddc824086f6,1.9941455125808716,-0.4120450640009867,0,0,0.3988291025161743,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,1f0f90b9-eaa2-4e1f-9626-0e7e550049db,1.9693090915679932,-0.9976724962383351,0,0,0.3938618183135986,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,630ab06d-848c-40e8-97bf-bf0090fc28c8,1.9622890949249268,-2.563636788300106,0,0,0.39245781898498533,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,f4f31f02-68a7-4911-ae1d-52cda32ddb78,1.9594584703445435,0.910596381050376,0,0,0.39189169406890867,increase
case1_kharkiv5,86492178,2023-02-10,3.0,c185960a-3582-4f0b-9be7-4213307f60ff,1.9495103359222412,-0.33946051122097476,0,0,0.38990206718444825,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,356c9cc9-a04e-4945-85f6-2cf05666487b,1.9473505020141602,-0.9235706302960578,0,0,0.38947010040283203,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,9b58ce89-e6b7-4f0d-82a5-a29a5e72651b,1.946582853794098,1.1755888544907005,0,0,0.3893165707588196,increase
case1_kharkiv5,86492178,2023-02-10,3.0,19eaf28f-6bb0-41c4-a1d7-b547d949b916,1.9267089366912842,1.935126069112651,0,0,0.38534178733825686,increase
case1_kharkiv5,86492178,2023-02-10,3.0,4c656d7c-3609-4d79-8c28-0b13c51e742d,1.9220105409622192,-0.5259648696092785,0,0,0.38440210819244386,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,3cefecf6-837e-43c5-be22-248e2b146787,1.8914216756820679,-1.1601558691902412,0,0,0.3782843351364136,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,a380d58b-e8d1-461a-a130-19ca53c3984d,1.8873999118804932,-1.507168643487476,0,0,0.37747998237609864,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,9b27c715-ea61-4c98-971f-a69e9ca15f8f,1.8698065280914307,-0.3855447663951178,0,0,0.3739613056182861,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,ae19c3f4-1b54-4cd7-8e97-41c9640dcaf7,1.8230968713760376,1.453525460786876,0,0,0.3646193742752075,increase
case1_kharkiv5,86492178,2023-02-10,3.0,861050ff-6d16-4dd8-9155-de915a6ac918,1.7961740493774414,-2.4326380737173534,0,0,0.3592348098754883,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,0a4b66cf-5a99-492a-936c-737e74d9ac00,1.7736518383026123,-2.096684961879464,0,0,0.35473036766052246,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,09730f88-7de5-4df4-9616-d9a87d07eda9,1.7300386428833008,-2.1466885031744827,0,0,0.3460077285766602,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,258c1a40-0e34-43f4-a5c2-e473c20b9d89,1.7237286567687988,-0.8979270745347148,0,0,0.34474573135375974,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,1b406a54-71d4-4cfb-b3b0-8dbb64e298dd,1.699151873588562,-0.9868272889781914,0,0,0.3398303747177124,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,084163aa-dd0b-4b74-aeec-872cc8d7edec,1.6176323890686035,-1.5936098688714049,0,0,0.3235264778137207,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,ed37b52a-2546-47c0-98c1-d1d190deb173,1.6077824831008911,-2.1643547446861495,0,0,0.3215564966201782,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,44eb6794-0112-461c-861a-94f2fd30f600,1.6060985326766968,1.2513259074858862,0,0,0.3212197065353394,increase
case1_kharkiv5,86492178,2023-02-10,3.0,a755f851-6f1c-4138-a079-190808a47e08,1.6029431819915771,-0.41709313884628635,0,0,0.3205886363983154,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,20b91612-74db-4c26-8496-d2ce84ca4b1c,1.5816153287887573,0.7607442834821327,0,0,0.3163230657577515,increase
case1_kharkiv5,86492178,2023-02-10,3.0,63cc7c2a-81f7-4fe1-b07b-a450ada007e6,1.5480773448944092,0.0448644150326363,0,0,0.3096154689788818,increase
case1_kharkiv5,86492178,2023-02-10,3.0,d7f94cf0-7956-4203-8bc9-1f0b85191269,1.530090093612671,-0.07795296244609475,0,0,0.3060180187225342,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,c3e40a8b-59ec-460e-9b37-28269d9a9b2e,1.377576470375061,-1.0904749437410177,0,0,0.2755152940750122,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,862096df-5956-455e-970b-1ea54ea115ee,1.3616524934768677,-1.2702037130886166,0,0,0.2723304986953735,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,5b6ba0b3-e766-4253-acdb-a5d84da434a1,1.2247108221054077,-1.085686343897463,0,0,0.24494216442108155,decrease
case1_kharkiv5,86492178,2023-02-10,3.0,1f9b4342-16f9-4b01-bc27-67ec3581e045,1.1475250720977783,-0.8224118180994716,0,0,0.22950501441955568,decrease
case2_trypilska,2271440,2024-04-11,3.9,8203e9d1-7b12-4b08-ad71-98d8442912ea,8.90610440572103,3.1318230140810654,1,1,1.0,increase
case2_trypilska,2271440,2024-04-11,3.9,6c7f8d1b-0bc7-43ce-b78b-b51f0f0a2c54,4.986047267913818,2.0873272973838564,1,0,0.9972094535827637,increase
case2_trypilska,2271440,2024-04-11,3.9,13d5285b-3349-4b24-a480-37840779e147,4.398538112640381,2.9757595154912733,1,0,0.8797076225280762,increase
case2_trypilska,2271440,2024-04-11,3.9,939656c0-b404-488d-af20-24ed5f5a6e2c,4.204308986663818,5.987977259472948,1,0,0.8408617973327637,increase
case2_trypilska,2271440,2024-04-11,3.9,23789c88-93d3-449c-a6c7-926ffee751d2,4.156835079193115,-3.5873372321944585,1,0,0.831367015838623,decrease
case2_trypilska,2271440,2024-04-11,3.9,460780fb-b0a4-49d6-805f-d5d25aa0a3bf,4.131408214569092,4.389283432736751,1,0,0.8262816429138183,increase
case2_trypilska,2271440,2024-04-11,3.9,9bcbeaf2-0676-4195-95d7-798f101ec5a6,4.059966564178467,2.433873496253009,1,0,0.8119933128356933,increase
case2_trypilska,2271440,2024-04-11,3.9,71e7c432-85e9-4aac-a670-27ffc12ad6d5,4.018887519836426,5.144654190786469,1,0,0.8037775039672852,increase
case2_trypilska,2271440,2024-04-11,3.9,614072e7-7b67-4dcf-95cc-3f4c0ae2814c,3.941223382949829,3.947908147935691,1,0,0.7882446765899658,increase
case2_trypilska,2271440,2024-04-11,3.9,3e591473-101c-4c72-bdb8-053d9d3a0270,3.926197052001953,3.73730560707826,1,0,0.7852394104003906,increase
case2_trypilska,2271440,2024-04-11,3.9,e9a37bba-d5a4-4874-aa96-97c525176bd3,3.9196765422821045,5.373470003751271,1,0,0.7839353084564209,increase
case2_trypilska,2271440,2024-04-11,3.9,c35cfa7e-2dfc-4bea-825e-36e7fc1ffc86,3.8565914630889893,3.828836635675574,0,0,0.7713182926177978,increase
case2_trypilska,2271440,2024-04-11,3.9,76950987-a2f1-4fb2-b16a-696fbbb01b87,3.82585072517395,-7.973982586131518,0,0,0.7651701450347901,decrease
case2_trypilska,2271440,2024-04-11,3.9,ff81b155-2779-4030-b28e-ec226aacce49,3.7861199378967285,-4.18747885433899,0,0,0.7572239875793457,decrease
case2_trypilska,2271440,2024-04-11,3.9,66a09ae7-1966-48dc-8d67-612c0e8cc3d5,3.785299301147461,2.6558008201718977,0,0,0.7570598602294922,increase
case2_trypilska,2271440,2024-04-11,3.9,eae382c9-dbc9-451a-a533-31f37994f18a,3.6928250789642334,-1.0139734394012339,0,0,0.7385650157928467,decrease
case2_trypilska,2271440,2024-04-11,3.9,b1c7c384-d1fd-4688-a09a-40ac5647856d,3.6354410648345947,4.039791641250015,0,0,0.727088212966919,increase
case2_trypilska,2271440,2024-04-11,3.9,c29b998a-0d83-4b74-a9bc-128cb72c0d89,3.6127219200134277,3.8005719641327427,0,0,0.7225443840026855,increase
case2_trypilska,2271440,2024-04-11,3.9,0248628a-0595-458a-9078-760e4e5a7ec0,3.599503755569458,2.5109535090942763,0,0,0.7199007511138916,increase
case2_trypilska,2271440,2024-04-11,3.9,57b0f493-213b-4744-b65b-28aeb045b2b3,3.5959084033966064,3.462727008582051,0,0,0.7191816806793213,increase
case2_trypilska,2271440,2024-04-11,3.9,de5fae7e-4e09-46df-9c48-1ee43eff70f1,3.5910072326660156,2.335667572170205,0,0,0.7182014465332032,increase
case2_trypilska,2271440,2024-04-11,3.9,31cfd26d-0660-47c1-b68d-2456047f98a8,3.5548691749572754,2.5918685486920228,0,0,0.7109738349914551,increase
case2_trypilska,2271440,2024-04-11,3.9,0f74e773-03a5-4198-96ab-b2bdd6eb5d9e,3.528045177459717,3.675512933617314,0,0,0.7056090354919433,increase
case2_trypilska,2271440,2024-04-11,3.9,1297884e-3d45-49f0-af04-caaf0e49c244,3.5246970653533936,1.764904519287498,0,0,0.7049394130706788,increase
case2_trypilska,2271440,2024-04-11,3.9,f0f8e8a9-3116-454f-b55a-90ceec9e2c46,3.5082268714904785,0.5149821943648587,0,0,0.7016453742980957,increase
case2_trypilska,2271440,2024-04-11,3.9,03088f19-9bc6-413a-b832-5da232b0e078,3.494354009628296,-0.026711343208425036,0,0,0.6988708019256592,decrease
case2_trypilska,2271440,2024-04-11,3.9,436519cb-a6ae-4a1b-bf45-31ec0bd06058,3.462209939956665,1.219653038603862,0,0,0.692441987991333,increase
case2_trypilska,2271440,2024-04-11,3.9,d32f8123-d3ef-4d7c-820c-588021b929e1,3.4543018341064453,-3.095676296929452,0,0,0.690860366821289,decrease
case2_trypilska,2271440,2024-04-11,3.9,512d2ed1-125b-4d86-9322-cac54544747d,3.3654158115386963,-3.338643146577581,0,0,0.6730831623077392,decrease
case2_trypilska,2271440,2024-04-11,3.9,bbbd016f-ca40-4de1-8f97-65c194954b09,3.2126524448394775,2.7054411132206293,0,0,0.6425304889678956,increase
case2_trypilska,2271440,2024-04-11,3.9,99df705b-6561-4d3e-a546-7915ae1d6c63,3.1177263259887695,-0.587595283267874,0,0,0.6235452651977539,decrease
case2_trypilska,2271440,2024-04-11,3.9,fe18cea9-5c29-4a35-b8be-71128cb1cd2a,3.084014654159546,2.6604413075273543,0,0,0.6168029308319092,increase
case2_trypilska,2271440,2024-04-11,3.9,da4a01cd-a7b4-49dd-9fad-aea8ba24d76d,3.0668907165527344,2.882047870487724,0,0,0.6133781433105469,increase
case2_trypilska,2271440,2024-04-11,3.9,c5f3b536-0dd6-4a30-b050-f09e9654e2fc,3.0651285648345947,3.461676852649109,0,0,0.613025712966919,increase
case2_trypilska,2271440,2024-04-11,3.9,49d2b78a-e7bd-49cc-9622-384a7fb7255d,3.0540390014648438,-2.293613600027596,0,0,0.6108078002929688,decrease
case2_trypilska,2271440,2024-04-11,3.9,663ea810-a34b-4b2c-befe-0f5f3279b1af,3.0331058502197266,-0.05301064990216937,0,0,0.6066211700439453,decrease
