case,osm_id,station_name_en,eor_id,eor_date,eor_description,eor_source
case2_trypilska,2271440,Trypilska Power Plant,UW45063,2024-04-11,Trypilska Thermal Power Plant on fire,https://web.archive.org/web/20251225222529/https://t.me/new_militarycolumnist/132196
case2_trypilska,2271440,Trypilska Power Plant,UW45067,2024-04-11,Image 2: Trypilska Thermal Power Plant on fire,https://web.archive.org/web/20251225222529/https://twitter.com/nexta_tv/status/1778339606955434305/photo/2
case2_trypilska,2271440,Trypilska Power Plant,UW77548,2025-09-08,Damage to Trypilska TPP,https://web.archive.org/web/20251225222529/https://x.com/Alerivan_/status/1966169965603746091
case2_trypilska,2271440,Trypilska Power Plant,UW78965,2025-11-07,Large pall of smoke rising from Tripilska TPP,https://web.archive.org/web/20251225222529/https://t.me/voenacher/87222
case6_kakhovka,7317657,ex Kakhovskaya HPP named after P. S. Neporozhny,UW15972,2022-11-11,Nova Kakhovka Dam Bridge spans blown up,https://web.archive.org/web/20251225222529/https://twitter.com/200_zoka/status/1591038625332236290
case6_kakhovka,7317657,ex Kakhovskaya HPP named after P. S. Neporozhny,UW15986,2022-11-11,Extensive damage to the Nova Kakhovka dam,https://web.archive.org/web/20251225222529/https://twitter.com/natsecwatson/status/1591140740154810368
case6_kakhovka,7317657,ex Kakhovskaya HPP named after P. S. Neporozhny,UW15999,2022-11-11,Explosion/blowing up of the Nova Kakhovka bridge,https://web.archive.org/web/20251225222529/https://twitter.com/GeoConfirmed/status/1591397915704320000
case6_kakhovka,7317657,ex Kakhovskaya HPP named after P. S. Neporozhny,UW27936,2023-06-06,Reported detonation of mines disrupted by flooding,https://web.archive.org/web/20251225222529/https://t.me/novaya_kahovka_news/4822
case1_kharkiv5,86492178,Kharkiv-5 Power Plant,UW68299,2023-02-10,Heavy damage to Kharkiv TPP No.5,https://web.archive.org/web/20251225222529/https://t.me/voenacher/39355
case1_kharkiv5,86492178,Kharkiv-5 Power Plant,UW44577,2024-03-22,Video 2: 00:16 - Black smoke rising from Thermal Power plant,https://web.archive.org/web/20251225222529/https://t.me/vorposte/53831
case1_kharkiv5,86492178,Kharkiv-5 Power Plant,UW44620,2024-03-22,Extensive damage to thermal power plant,https://web.archive.org/web/20251225222529/https://x.com/ukrreview/status/1772673514769625576?s=46&t=x5nEfxOJ_dU8dxIQL-7veQ
case1_kharkiv5,86492178,Kharkiv-5 Power Plant,UW64738,2025-02-28,Strike on Kharkiv's thermal power plant no. 5,https://web.archive.org/web/20251225222529/https://t.me/Operatyvnyi_Donbas/105178
